INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201912,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,100.952,100.97,100.952,0.28,0.33,0.24
201912,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,100.368,99.867,100.368,0.56,0.48,0.48
201912,210111,WHITE SLICED LOAF BRANDED 750G,1,1,96.423,96.598,96.423,0.84,0.81,0.72
201912,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,97.906,97.454,97.906,0.7,0.63,0.6
201912,210114,CHILLED GARLIC BREAD,1,1,100.986,100.347,100.986,0.84,0.75,0.72
201912,210201,FLOUR-SELF-RAISING-1.5KG,1,1,98.154,98.11,98.154,0.28,0.12,0.24
201912,210204,DRY SPAGHETTI OR PASTA 500G,1,1,107.567,107.891,107.567,0.14,0.3,0.12
201912,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,105.785,106.101,105.785,0.39,0.24,0.33
201912,210212,BASMATI RICE 500G-1KG,1,1,104.487,104.092,104.487,0.28,0.42,0.24
201912,210213,BREAKFAST CEREAL 1,1,1,103.477,103.605,103.477,0.84,0.42,0.72
201912,210214,BREAKFAST CEREAL 2,1,1,107.951,107.156,107.951,1.54,0.69,1.32
201912,210215,CEREAL BAR,1,1,106.934,106.804,106.934,0.28,0.3,0.24
201912,210216,HOT OAT CEREAL,1,1,107.728,106.169,107.728,0.28,0.12,0.24
201912,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,104.896,103.879,104.896,0.14,0.12,0.12
201912,210218,"POPCORN, BAG, 10-30G",1,1,106.697,105.82,106.697,0.56,0.27,0.48
201912,210301,CREAM CRACKERS PACK 200G-300G,1,1,105.784,100.507,105.784,0.42,0.54,0.36
201912,210302,PLAIN BISCUITS-200-300G,1,1,100.98,102.042,100.98,1.26,1.5,1.08
201912,210317,FRUIT PIES 4-6 PACK,1,1,113.196,112.933,113.196,0.28,0.36,0.24
201912,210319,DOUGHNUT-EACH,1,1,100.661,99.87,100.661,0.7,0.84,0.6
201912,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,94.845,96.28,94.845,0.84,0.9,0.72
