INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT,IMPUTATION_FLAG
202103,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,100.441,100.464,0.38,0.44,0.3, 
202103,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,101.02,100.805,0.76,0.64,0.6, 
202103,210111,WHITE SLICED LOAF BRANDED 750G,1,1,102.849,102.714,1.14,1,0.9, 
202103,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,102.906,103.225,0.95,0.8,0.75, 
202103,210114,CHILLED GARLIC BREAD,1,1,97.611,96.366,1.14,1.12,0.9, 
202103,210201,FLOUR-SELF-RAISING-1.5KG,1,1,90.805,90.075,0.38,0.2,0.3, 
202103,210204,DRY SPAGHETTI OR PASTA 500G,1,1,103.315,101.897,0.19,0.4,0.15, 
202103,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,99.992,99.983,0.6,0.32,0.48, 
202103,210212,BASMATI RICE 500G-1KG,1,1,98.977,99.329,0.38,0.52,0.3, 
202103,210213,BREAKFAST CEREAL 1,1,1,104.687,104.514,1.14,0.48,0.9, 
202103,210214,BREAKFAST CEREAL 2,1,1,100.966,101.372,1.71,0.8,1.35, 
202103,210215,CEREAL BAR,1,1,96.977,97.221,0.57,0.48,0.45, 
202103,210216,HOT OAT CEREAL,1,1,101.613,101.641,0.38,0.16,0.3, 
202103,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,100.492,100.468,0.19,0.12,0.15, 
202103,210218,"POPCORN, BAG, 10-30G",1,1,99.63,99.412,0.76,0.36,0.6, 
202103,210219,BREAKFAST CEREAL GLUTEN FREE,1,1,105.036,105.665,0.19,0.12,0.15, 
202103,210221,COUSCOUS PLAIN/FLAVOURED,1,1,100.97,101.225,0.19,0.04,0.15, 
202103,210301,CREAM CRACKERS PACK 200G-300G,1,1,100.479,100.205,0.57,0.63,0.45, 
202103,210302,PLAIN BISCUITS-200-300G,1,1,105.208,104.461,1.52,1.4,1.2, 
202103,210319,DOUGHNUT-EACH,1,1,100.602,101.866,0.95,0.98,0.75, 
202103,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,92.605,94.788,0.95,0.91,0.75, 
202103,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,101.759,101.322,1.33,1.33,1.05, 
202103,210323,BISCUITS HALF CHOC 260-400G,1,1,89.64,91.058,0.76,0.77,0.6, 
202103,210324,CRUMPETS PACK 6-9 SPEC NUMBER,1,1,93.535,93.399,0.95,0.98,0.75, 
202103,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,99.41,99.482,0.84,1.24,0.64, 
202103,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,99.879,99.767,1.05,1.68,0.8, 
202103,210414,FROZEN BEEFBURGERS PACK OF 4,1,1,98.643,98.526,0.42,0.52,0.32, 
202103,210416,BEEF ROASTING JOINT PER KG,1,1,102.417,102.056,0.42,0.56,0.32, 
202103,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,1,98.837,98.469,0.63,0.4,0.48, 
202103,210507,HOME KILLED LAMB SHOULDER KG,1,1,100.125,99.926,1.05,0.6,0.8, 
202103,210703,HOME KILLED PORK-LOIN CHOPS KG,1,1,99.638,99.628,1.05,1,0.8, 
202103,210802,BACON-GAMMON-PER KG,1,1,99.686,99.73,0.63,0.24,0.48, 
202103,210808,BACON-BACK-PER KG,1,1,99.366,99.384,1.89,0.76,1.44, 
202103,210905,FRESH/CHILLED CHICKEN  PER KG,1,1,99.995,99.959,0.84,1.08,0.64, 
202103,210910,FRESH BONELESS CHICKEN BREAST,1,1,100.28,100.181,1.68,2.36,1.28, 
202103,210913,ROTISSERIE CHICKEN [WHOLE],1,1,100.436,99.281,0.21,0.2,0.16,FULL
202103,210914,FRESH TURKEY DICED/MIN PER KG,1,1,102.785,102.887,0.21,0.36,0.16, 
202103,211007,CANNED MEAT-STEWED STEAK,1,1,100.556,100.46,0.21,0.18,0.16, 
202103,211011,INDIVIDUAL MEAT PIE,1,1,96.51,97.017,0.84,0.84,0.64, 
202103,211014,SAUSAGES-PORK-PER KG,1,1,101,101.073,2.1,0.78,1.6, 
202103,211019,FROZ CHICKEN NUGGETS 220-600G,1,1,97.342,96.505,0.63,0.54,0.48, 
202103,211023,COOKED HAM PREPACKED SLICED,1,1,96.28,96.647,2.52,1.02,1.92, 
202103,211024,CONTINENTAL SLICED DELI MEAT,1,1,96.546,96.18,0.84,0.36,0.64, 
202103,211025,JOINT OV/READ GAM/POR 450-900G,1,1,99.339,99.156,0.21,0.12,0.16, 
202103,211026,CHICKEN KIEV 2 PACK 240-325G,1,1,102.453,103.428,0.63,0.54,0.48, 
202103,211027,H K LIVER PER KG STATE TYPE,1,1,101.752,102.223,0.21,0.06,0.16, 
202103,211029,COOKED MEAT TURKEY/CHICK SLICE,1,1,100.692,100.752,0.42,0.54,0.32, 
202103,211030,MEAT BASED SNACK PACK MAX 400G,1,1,100.635,100.534,0.63,0.72,0.48, 
202103,211031,COOKED HAM LOOSE PER 100G,1,1,101.794,101.843,0.84,0.3,0.64,PARTIAL
202103,211101,FRESH WHITE FISH FILLETS KG,1,1,99.987,100.147,0.32,0.54,0.24, 
202103,211105,FRESH FISH-SALMON FILLETS-KG,1,1,91.227,93.406,0.6,0.98,0.45, 
202103,211106,FROZEN PRAWNS PER KG,1,1,95.144,95.895,0.96,0.48,0.72, 
202103,211207,"CANNED FISH, TUNA, 130G-200G",1,1,104.174,103.712,1.04,1,0.78, 
202103,211210,FROZEN FISH FINGERS 8-12 PK,1,1,104.199,104.438,0.84,0.78,0.63, 
202103,211211,FROZEN BREAD/BAT FISH 400-550G,1,1,101.026,101.087,0.24,0.22,0.18, 
202103,211305,SPREADABLE BUTTER,1,1,105.239,105.167,0.4,0.53,0.4, 
202103,211306,BUTTER 250G SPEC COO,1,1,99.757,99.724,0.36,0.47,0.36, 
202103,211407,MARGARINE/LOW FAT SPREAD-500G,1,1,107.904,105.408,0.56,1.1,0.56, 
202103,211408,OLIVE OIL - 500ML - 1 LITRE,1,1,99.986,99.25,0.6,0.76,0.6, 
202103,211409,"PEANUT BUTTER, JAR, 225-350G",1,1,102.025,102.389,0.08,0.14,0.08, 
202103,211501,CHEDDAR-HOME PRODUCED PER KG,1,1,99.509,99.546,1.65,2.04,1.35, 
202103,211506,"CHEESE SPREAD, 125g-200g TUB",1,1,104.302,104.196,0.55,0.72,0.45, 
202103,211509,HARD REGIONAL CHEESE PER KG,1,1,99.343,99.253,0.22,0.28,0.18, 
202103,211510,PARMESAN CHEESE-PER KG,1,1,102.399,101.964,0.33,0.48,0.27, 
202103,211511,SOFT CONTINENTAL CHEESE - KG,1,1,97.308,97.739,0.33,0.48,0.27, 
202103,211602,EGGS-MEDIUM-PER DOZ OR 2 X 6,1,1,99.929,99.88,0.44,0.37,0.36, 
