INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201812,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,103.287,103.297,103.287,0.3,0.4,0.24
201812,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,102.945,103.661,102.945,0.6,0.68,0.48
201812,210111,WHITE SLICED LOAF BRANDED 750G,1,1,99.204,99.415,99.204,0.9,1.08,0.72
201812,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,99.144,99.281,99.144,0.75,0.88,0.6
201812,210114,CHILLED GARLIC BREAD,1,1,102.088,100.057,102.088,0.75,0.96,0.6
201812,210201,FLOUR-SELF-RAISING-1.5KG,1,1,90.385,89.645,90.385,0.3,0.12,0.24
201812,210204,DRY SPAGHETTI OR PASTA 500G,1,1,91.256,87.965,91.256,0.15,0.27,0.12
201812,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,102.276,102.819,102.276,0.65,0.45,0.5
201812,210212,BASMATI RICE 500G-1KG,1,1,106.656,107.061,106.656,0.3,0.45,0.24
201812,210213,BREAKFAST CEREAL 1,1,1,108.893,107.644,108.893,1.05,0.42,0.84
201812,210214,BREAKFAST CEREAL 2,1,1,103.595,101.329,103.595,1.95,0.75,1.56
201812,210215,CEREAL BAR,1,1,107.588,106.839,107.588,0.3,0.27,0.24
201812,210216,HOT OAT CEREAL,1,1,100.104,99.892,100.104,0.45,0.15,0.36
201812,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,111.508,110.826,111.508,0.15,0.12,0.12
201812,210301,CREAM CRACKERS PACK 200G-300G,1,1,105.911,105.225,105.911,0.6,0.6,0.48
201812,210302,PLAIN BISCUITS-200-300G,1,1,97.952,97.612,97.952,1.35,1.44,1.08
201812,210317,FRUIT PIES 4-6 PACK,1,1,96.62,95.662,96.62,0.3,0.36,0.24
201812,210319,DOUGHNUT-EACH,1,1,102.851,103.074,102.851,0.75,0.84,0.6
201812,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,97.643,98.646,97.643,0.75,0.9,0.6
201812,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,105.143,105.905,105.143,1.05,1.08,0.84
201812,210323,BISCUITS HALF CHOC 260-400G,1,1,100.747,100.163,100.747,0.75,0.78,0.6
201812,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,93.924,94.019,93.924,0.8,0.9,0.64
201812,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,98.374,98.459,98.374,1,1.2,0.8
201812,210413,HOME KILLED BEEF-TOPSIDE KG,1,1,97.28,96.876,97.28,0.4,0.54,0.32
