INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
202201,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,106.957,100.249,0.38,0.44,0.3
202201,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,109.483,102.197,0.76,0.64,0.6
202201,210111,WHITE SLICED LOAF BRANDED 750G,1,1,102.51,100.611,1.14,1,0.9
202201,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,100.959,100.463,0.95,0.8,0.75
202201,210114,CHILLED GARLIC BREAD,1,1,106.477,102.306,1.14,1.12,0.9
202201,210201,FLOUR-SELF-RAISING-1.5KG,1,1,91.196,101.447,0.38,0.2,0.3
202201,210204,DRY SPAGHETTI OR PASTA 500G,1,1,114.481,96.804,0.19,0.4,0.15
202201,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,101.453,100.519,0.6,0.32,0.48
202201,210212,BASMATI RICE 500G-1KG,1,1,103.095,100.7,0.38,0.52,0.3
202201,210213,BREAKFAST CEREAL 1,1,1,102.776,95.866,1.14,0.48,0.9
202201,210214,BREAKFAST CEREAL 2,1,1,105.213,101.873,1.71,0.8,1.35
202201,210215,CEREAL BAR,1,1,93.745,90.695,0.57,0.48,0.45
202201,210216,HOT OAT CEREAL,1,1,101.108,95.426,0.38,0.16,0.3
202201,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,99.688,98.883,0.19,0.12,0.15
202201,210218,"POPCORN, BAG, 10-30G",1,1,100.238,101.71,0.76,0.36,0.6
202201,210219,BREAKFAST CEREAL GLUTEN FREE,1,1,104.634,97.986,0.19,0.12,0.15
202201,210221,COUSCOUS PLAIN/FLAVOURED,1,1,102.941,99.432,0.19,0.04,0.15
202201,210301,CREAM CRACKERS PACK 200G-300G,1,1,103.284,101.304,0.57,0.63,0.45
202201,210302,PLAIN BISCUITS-200-300G,1,1,106.057,101.117,1.52,1.4,1.2
202201,210319,DOUGHNUT-EACH,1,1,106.136,103.615,0.95,0.98,0.75
202201,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,106.653,100.078,0.95,0.91,0.75
202201,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,106.387,89.249,1.33,1.33,1.05
202201,210323,BISCUITS HALF CHOC 260-400G,1,1,96.979,95.017,0.76,0.77,0.6
202201,210324,CRUMPETS PACK 6-9 SPEC NUMBER,1,1,101.588,100.189,0.95,0.98,0.75
202201,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,106.204,100.474,0.84,1.24,0.64
202201,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,106.673,101.044,1.05,1.68,0.8
202201,210414,FROZEN BEEFBURGERS PACK OF 4,1,1,99.595,97.234,0.42,0.52,0.32
202201,210416,BEEF ROASTING JOINT PER KG,1,1,108.025,102.569,0.42,0.56,0.32
202201,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,1,109.655,100.759,0.63,0.4,0.48
202201,210507,HOME KILLED LAMB SHOULDER KG,1,1,113.276,102.461,1.05,0.6,0.8
202201,210703,HOME KILLED PORK-LOIN CHOPS KG,1,1,103.95,100.257,1.05,1,0.8
202201,210802,BACON-GAMMON-PER KG,1,1,101.769,99.981,0.63,0.24,0.48
202201,210808,BACON-BACK-PER KG,1,1,99.069,100.464,1.89,0.76,1.44
202201,210905,FRESH/CHILLED CHICKEN  PER KG,1,1,105.485,101.461,0.84,1.08,0.64
202201,210910,FRESH BONELESS CHICKEN BREAST,1,1,104.724,101.439,1.68,2.36,1.28
202201,210913,ROTISSERIE CHICKEN [WHOLE],1,1,99.214,95.449,0.21,0.2,0.16
202201,210914,FRESH TURKEY DICED/MIN PER KG,1,1,111.596,101.452,0.21,0.36,0.16
202201,211007,CANNED MEAT-STEWED STEAK,1,1,101.748,103.751,0.21,0.18,0.16
202201,211011,INDIVIDUAL MEAT PIE,1,1,103.075,100.082,0.84,0.84,0.64
202201,211014,SAUSAGES-PORK-PER KG,1,1,103.321,99.52,2.1,0.78,1.6
202201,211019,FROZ CHICKEN NUGGETS 220-600G,1,1,100.508,99.36,0.63,0.54,0.48
202201,211023,COOKED HAM PREPACKED SLICED,1,1,102.602,100.408,2.52,1.02,1.92
202201,211024,CONTINENTAL SLICED DELI MEAT,1,1,98.401,99.344,0.84,0.36,0.64
202201,211025,JOINT OV/READ GAM/POR 450-900G,1,1,104.061,103.272,0.21,0.12,0.16
202201,211026,CHICKEN KIEV 2 PACK 240-325G,1,1,105.295,99.689,0.63,0.54,0.48
202201,211027,H K LIVER PER KG STATE TYPE,1,1,104.82,99.258,0.21,0.06,0.16
202201,211029,COOKED MEAT TURKEY/CHICK SLICE,1,1,105.37,100.491,0.42,0.54,0.32
202201,211030,MEAT BASED SNACK PACK MAX 400G,1,1,104.266,98.084,0.63,0.72,0.48
202201,211031,COOKED HAM LOOSE PER 100G,1,1,95.367,99.235,0.84,0.3,0.64
202201,211101,FRESH WHITE FISH FILLETS KG,1,1,102.033,99.445,0.32,0.54,0.24
202201,211105,FRESH FISH-SALMON FILLETS-KG,1,1,95.678,97.495,0.6,0.98,0.45
202201,211106,FROZEN PRAWNS PER KG,1,1,102.487,106.81,0.96,0.48,0.72
202201,211207,"CANNED FISH, TUNA, 130G-200G",1,1,102.174,97.912,1.04,1,0.78
202201,211210,FROZEN FISH FINGERS 8-12 PK,1,1,107.919,106.499,0.84,0.78,0.63
202201,211211,FROZEN BREAD/BAT FISH 400-550G,1,1,104.091,104.564,0.24,0.22,0.18
202201,211305,SPREADABLE BUTTER,1,1,106.383,98.103,0.4,0.53,0.4
202201,211306,BUTTER 250G SPEC COO,1,1,104.493,102.089,0.36,0.47,0.36
202201,211407,MARGARINE/LOW FAT SPREAD-500G,1,1,144.359,104.72,0.56,1.1,0.56
202201,211408,OLIVE OIL - 500ML - 1 LITRE,1,1,105.603,102.472,0.6,0.76,0.6
202201,211409,"PEANUT BUTTER, JAR, 225-350G",1,1,102.281,96.433,0.08,0.14,0.08
202201,211501,CHEDDAR-HOME PRODUCED PER KG,1,1,99.342,101.704,1.65,2.04,1.35
202201,211506,"CHEESE SPREAD, 125g-200g TUB",1,1,99.828,93.396,0.55,0.72,0.45
202201,211509,HARD REGIONAL CHEESE PER KG,1,1,99.631,100.603,0.22,0.28,0.18
202201,211510,PARMESAN CHEESE-PER KG,1,1,102.238,100.349,0.33,0.48,0.27
202201,211511,SOFT CONTINENTAL CHEESE - KG,1,1,103.145,101.33,0.33,0.48,0.27
202201,211602,EGGS-MEDIUM-PER DOZ OR 2 X 6,1,1,106.474,101.079,0.44,0.37,0.36
202201,211603,EGGS-LARGE-PER DOZ OR 2 X 6,1,1,107.493,100.72,0.66,0.63,0.54
202201,211707,DELVD MILK SEMI-SKIMMED PER PT,1,0,103.196,103.5,0.11,0.06,0.09
202201,211709,SHOP MILK-WHOLE MILK-4PT/2LTR,1,1,106.479,100.138,0.66,0.54,0.54
202201,211710,MILK SEMI-PER 2 PINTS/1.136 L,1,1,108.719,100.429,2.31,1.89,1.89
202201,211713,"MILK FLAVOURED, 180-500MLS/GMS",1,1,99.219,95.507,0.22,0.21,0.18
202201,211714,NON-DAIRY MILK DRINK 900ML-1LT,1,1,104.238,91.728,0.22,0.3,0.18
202201,211807,"YOGHURT/FROMAGE 4-6PK, 45-125G",1,1,116.751,94.002,1.1,1.52,0.9
202201,211808,CHILLED POT DESSERT 125-200G,1,1,103.363,100.74,0.77,0.84,0.63
202201,211814,YOGHURT-SMALL INDIVIDUAL,1,1,103.152,102.248,0.66,0.84,0.54
202201,211815,FRESH DOUBLE CREAM 250ML-300ML,1,1,105.053,101.962,0.44,0.48,0.36
202201,211816,POWDERED BABY FORMULA 400-900G,1,1,100.114,99.089,0.33,0.32,0.27
202201,211901,TEA BAGS PKT OF 80 (230G-250G),1,1,104.341,99.621,0.84,0.64,0.63
202201,211904,TEA BAGS-2-PACKET OF 240,1,1,103.598,100.393,0.24,0.19,0.18
202201,211905,"FLAVRD TEA 15-20 BAGS, 30-40G",1,1,98.872,96.303,0.24,0.17,0.18
202201,212001,"FRUIT SQUASH, 750ML - 1.5LT",1,1,104.48,101.115,0.99,0.9,0.77
202201,212006,FRUIT JUICE NOT ORANGE 1L,1,1,107.221,101.273,0.54,0.54,0.42
202201,212008,LEMONADE-2 LITRE BOTTLE,1,1,98.946,101.901,0.18,0.18,0.14
202201,212010,MINERAL WATER STILL 1.5-2L,1,1,108.613,103.317,0.36,0.54,0.28
202201,212015,FIZZY ENERGY DRINK 250-500ML,1,1,101.563,99.943,1.17,1.08,0.91
202201,212016,FRESH/CHILL ORANGE JUICE 900ML,1,1,99.889,108.864,0.99,0.9,0.77
202201,212017,FIZZY BOTTLED DRINK 500ML,1,1,98.446,100.476,1.44,1.35,1.12
202201,212020,FRUIT DRINK BOTTLE 4-8 PACK,1,1,123.324,84.139,0.09,0.09,0.07
202201,212021,BOTTLE STILL WATER 500ML,1,1,100.649,100.854,0.18,0.27,0.14
202201,212022,MIXER DRINK BOTTLE 1L EG TONIC,1,1,103.901,107.235,0.63,0.63,0.49
202201,212023,COLA/FIZZY DRINK 330ML PK 4-8,1,1,101.652,100.809,0.36,0.36,0.28
202201,212024,FLAVOURED WATER BOTT 900ML-1.5,1,1,107.777,100.595,0.36,0.54,0.28
202201,212025,"COLA DRINK, REG,BOTTLE,1.25-2L",1,1,98.134,100.464,0.72,0.63,0.56
202201,212026,"COLA DRINK, DIET 1.25-2LTR",1,1,99.417,104.697,0.72,0.72,0.56
202201,212027,FRUIT/VEG SMOOTHIE,1,1,101.542,103.183,0.27,0.27,0.21
202201,212101,SUGAR -GRANULATED-WHITE-PER KG,1,1,102.992,101.217,0.7,0.32,0.55
202201,212106,JAR OF JAM-340-454G,1,1,116.587,103.256,0.84,0.49,0.66
202201,212107,HONEY JAR/BOTTLE 340G-454G,1,1,102.274,104.064,0.28,0.19,0.22
202201,212202,MINTS,1,1,98.503,100.278,0.14,0.14,0.11
202201,212211,CHOCOLATE 4,1,1,101.511,100.388,0.84,2.1,0.66
202201,212214,FRUIT PASTILLES 2,1,1,102.354,101.737,0.56,1.26,0.44
202201,212217,CHEWING/BUBBLE GUM-SINGLE PK,1,1,106.389,100.185,0.14,0.28,0.11
202201,212218,CARTON/BOX OF CHOCS 150-400GM,1,1,99.142,113.204,1.96,1.82,1.54
202201,212222,CHOCOLATE 10,1,1,100.842,100.526,2.24,2.1,1.76
202201,212223,BRAND CHOC SWEETS 90-185G BAG,1,1,105.226,107.802,0.7,0.7,0.55
202201,212224,"SWEETS, NOT CHOC, 150-250G BAG",1,1,98.054,100,0.7,1.68,0.55
202201,212225,CHOCOLATE LARGE BAR 100-200G,1,1,96.326,99.281,2.1,2.1,1.65
202201,212226,CHOCOLATE 12,1,1,103.416,102.466,0.56,1.54,0.44
202201,212228,MALTED CHOCOLATE SWEETS,1,1,97.114,101.021,0.14,0.28,0.11
202201,212360,POTATOES-OLD WHITE PER KG,1,0,94.934,100.133,0.6,0.62,0.48
202201,212361,POTATOES- BAKING PER KG,1,0,104.785,99.869,0.15,0.17,0.12
202201,212399,POTATOES-NEW-LOOSE-PER KG,1,0,102.804,100.62,0.15,0.21,0.12
202201,212402,POTATO CRISPS 25G-50G,1,1,104.477,100.963,0.75,0.45,0.6
202201,212404,POTATO CRISPS-MULTI-PACK,1,1,111.433,102.611,1.65,1.02,1.32
202201,212405,FROZEN CHIPS 900G-1.5KG,1,1,111.777,98.998,1.05,0.96,0.84
202201,212408,PREMIUM POTATO CRISPS/CHIPS,1,1,101.532,102.704,0.6,0.3,0.48
202201,212409,P'PARED MASHED POTATO 400-650G,1,1,94.058,101.662,0.3,0.27,0.24
202201,212504,FRESH VEG-CAULIFLOWER-EACH,1,1,99.753,102.274,0.45,0.49,0.36
202201,212510,FRESH VEG-CUCUMBER-WHOLE,1,1,102.419,101.057,0.3,0.35,0.24
202201,212511,FRESH VEG-LETTUCE-ICEBERG-EACH,1,1,99.092,102.634,0.3,0.35,0.24
202201,212515,FRESH VEG-TOMATOES-PER KG,1,1,102.547,100.779,1.05,1.12,0.84
202201,212516,FRESH VEG-CABBAGE-WHOLE-PER KG,1,1,105.623,98.299,0.3,0.28,0.24
202201,212518,FRESH VEG-CARROTS-PER KG,1,1,100.562,100.237,0.45,0.42,0.36
202201,212519,FRESH VEG-ONIONS-PER KG,1,1,106.274,100.086,0.6,0.7,0.48
202201,212520,FRESH VEG-MUSHROOMS-PER KG,1,1,104.899,100.963,0.45,0.56,0.36
202201,212527,PRE-PACKED SALAD 100-250G,1,1,100.455,101.523,0.45,0.49,0.36
202201,212530,FRESH VEG-BROCCOLI-PER KG,1,1,100.087,99.45,0.3,0.35,0.24
202201,212531,FRESH VEG-COURGETTE-PER KG,1,1,104.477,105.165,0.45,0.49,0.36
202201,212532,FRESH VEG-PEPPERS -LOOSE OR KG,1,1,99.526,96.757,0.45,0.49,0.36
202201,212533,VEGETABLE STIR FRY FRESH PACK,1,1,104.4,101.983,0.45,0.42,0.36
202201,212535,SWEET POTATO PER KG OR EACH,1,1,99.324,101.514,0.3,0.49,0.24
202201,212601,CANNED TOMATOES 390-400G,1,1,125.406,103.558,0.3,0.42,0.24
202201,212603,"BAKED BEANS, 400-425G TIN",1,1,116.614,100.354,0.45,0.5,0.36
202201,212608,CANNED SWEETCORN 198-340G,1,1,105.491,100.484,0.45,0.52,0.36
202201,212609,FROZEN GARDEN PEAS 800G-1KG,1,1,103.056,100.363,0.15,0.24,0.12
202201,212612,FROZEN PRE-PREPARED VEGTABLES,1,1,103.339,99.822,0.3,0.32,0.24
202201,212709,ORANGES-CLASS 1-EACH,1,1,107.187,100.546,0.36,0.32,0.27
202201,212710,AVOCADO PEAR-EACH,1,1,106.029,98.828,0.72,0.56,0.54
202201,212712,KIWI FRUIT-EACH,1,1,114.024,98.34,0.24,0.16,0.18
202201,212715,GRAPEFRUIT-EACH,1,1,100.328,95.493,0.36,0.24,0.27
202201,212716,APPLES-COOKING-PER KG,1,1,106.754,102.265,0.24,0.16,0.18
202201,212717,APPLES-DESSERT-PER KG,1,1,113.559,101.845,0.84,0.72,0.63
202201,212718,PEARS-DESSERT-PER KG,1,1,108.83,100.387,0.24,0.24,0.18
202201,212719,BANANAS-PER KG,1,1,102.448,100.462,1.2,0.96,0.9
202201,212720,STRAWBERRIES PER KG OR PUNNET,1,1,129.841,100.645,1.08,0.88,0.81
202201,212722,GRAPES-PER KG,1,1,104.631,100.096,0.84,0.72,0.63
202201,212725,SMALL TYPE ORANGES PER PACK/KG,1,1,105.003,101.974,0.36,0.24,0.27
202201,212726,PLUMS PER KG/PACK,1,1,99.784,98.563,0.72,0.56,0.54
202201,212728,PINEAPPLE EACH,1,1,95.659,97.146,0.24,0.24,0.18
202201,212730,FRUIT FRESH SNACKING 150-350G,1,1,99.234,100.058,0.48,0.4,0.36
202201,212731,MELON EACH EG HONEYDEW,1,1,90.397,98.717,0.24,0.24,0.18
202201,212732,LEMON EACH,1,1,102.568,103.257,0.24,0.24,0.18
202201,212733,BLUEBERRIES PUNNET OR PER KG,1,1,108.928,100.065,0.72,0.64,0.54
202201,212734,RASPBERRIES PUNNET OR PER KG,1,1,96.008,102.841,0.6,0.48,0.45
202201,212806,PACKET OF PEANUTS 150-300G,1,1,108.982,104.039,1.32,1.22,0.99
202201,212807,CANNED FRUIT-400-450G,1,1,102.441,100.385,0.48,0.32,0.36
202201,212808,DRIED FRUIT - EG APRICOTS,1,1,103.759,100.396,0.48,0.46,0.36
202201,212905,VEGETABLE PICKLE 280-520G,1,1,103.594,102.976,0.15,0.13,0.12
202201,212910,CANNED SOUP-390-425G,1,1,104.453,100.775,0.33,0.65,0.22
202201,212917,TOMATO KETCHUP BOTTLE 340-570G,1,1,125.653,102.289,0.45,1.04,0.3
202201,212918,FRZN READY-COOKD MEAL SERVES 1,1,1,101.495,100.645,0.18,0.65,0.12
202201,212923,COOK-IN SAUCE-JAR/CAN 350-520G,1,1,110.254,99.36,0.51,1.17,0.34
202201,212928,FROZ VEG BURGER/GRILL 180-454G,1,1,101.451,92.915,0.75,0.78,0.6
202201,212930,MAYONNAISE 390-500G/420-540MLS,1,1,99.005,97.715,0.42,0.91,0.28
202201,212933,ICE CREAM 450ML-1L,1,1,99.539,108.238,1.12,0.65,0.88
202201,212934,DRIED POTTED SNACK 50-120G,1,1,116.84,104.215,0.38,1.3,0.3
202201,212936,CHILLED READY MEAL-MEAT-SERVS1,1,1,102.901,100.307,0.48,1.69,0.32
202201,212937,CHILLED READY MEAL-FISH/VEG,1,1,105.617,100.316,0.48,1.69,0.32
202201,212938,CHOCOLATE COVERED ICE CREAM,1,1,112.086,96.529,0.98,0.52,0.77
202201,212939,CHILLED PIZZA EACH 300-600G,1,1,101.971,101.846,0.95,1.17,0.75
202201,212940,PROTEIN POWDER 900G-2KG,1,1,103.329,94.54,0.15,0.26,0.1
202201,212941,QUICHE 340G-450G,1,1,100.065,98.128,0.19,0.26,0.15
