INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201904,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,101.241,101.175,101.241,0.28,0.33,0.24
201904,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,100.244,99.847,100.244,0.56,0.48,0.48
201904,210111,WHITE SLICED LOAF BRANDED 750G,1,1,102.371,102.45,102.371,0.84,0.81,0.72
201904,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,101.959,102.074,101.959,0.7,0.63,0.6
201904,210114,CHILLED GARLIC BREAD,1,1,98.592,97.76,98.592,0.84,0.75,0.72
201904,210201,FLOUR-SELF-RAISING-1.5KG,1,1,99.29,99.365,99.29,0.28,0.12,0.24
201904,210204,DRY SPAGHETTI OR PASTA 500G,1,1,108.051,106.986,108.051,0.14,0.3,0.12
201904,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,103.221,103.291,103.221,0.39,0.24,0.33
201904,210212,BASMATI RICE 500G-1KG,1,1,96.725,97.328,96.725,0.28,0.42,0.24
201904,210213,BREAKFAST CEREAL 1,1,1,98.974,99.036,98.974,0.84,0.42,0.72
201904,210214,BREAKFAST CEREAL 2,1,1,105.256,103.95,105.256,1.54,0.69,1.32
201904,210215,CEREAL BAR,1,1,105.956,106.469,105.956,0.28,0.3,0.24
201904,210216,HOT OAT CEREAL,1,1,107.063,106.675,107.063,0.28,0.12,0.24
201904,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,101.175,101.152,101.175,0.14,0.12,0.12
201904,210218,"POPCORN, BAG, 10-30G",1,1,99.496,97.405,99.496,0.56,0.27,0.48
201904,210301,CREAM CRACKERS PACK 200G-300G,1,1,103.757,99.04,103.757,0.42,0.54,0.36
201904,210302,PLAIN BISCUITS-200-300G,1,1,99.665,99.964,99.665,1.26,1.5,1.08
201904,210317,FRUIT PIES 4-6 PACK,1,1,106.955,107.511,106.955,0.28,0.36,0.24
201904,210319,DOUGHNUT-EACH,1,1,100.422,100.941,100.422,0.7,0.84,0.6
201904,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,99.699,100.117,99.699,0.84,0.9,0.72
201904,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,114.481,115.064,114.481,0.98,1.14,0.84
201904,210323,BISCUITS HALF CHOC 260-400G,1,1,111.228,109.628,111.228,0.7,0.72,0.6
201904,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,97.816,97.742,97.816,0.76,0.93,0.6
201904,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,98.326,98.061,98.326,0.95,1.26,0.75
201904,210413,HOME KILLED BEEF-TOPSIDE KG,1,1,94.014,94.409,94.014,0.38,0.45,0.3
201904,210414,FROZEN BEEFBURGERS PACK OF 4,1,1,98.851,98.714,98.851,0.38,0.36,0.3
201904,210502,HOME KILLED LAMB-SHOULDER KG,1,1,101.063,101.18,101.063,0.38,0.6,0.3
201904,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,1,101.712,102.131,101.712,0.38,0.4,0.3
201904,210606,FRZEN IMP LAMB: LEG (PER KG),1,1,98.033,97.903,98.033,0.76,1,0.6
201904,210703,HOME KILLED PORK-LOIN CHOPS KG,1,1,97.744,97.733,97.744,0.95,1,0.75
201904,210802,BACON-GAMMON-PER KG,1,1,100.513,100.656,100.513,0.57,0.24,0.45
201904,210808,BACON-BACK-PER KG,1,1,96.678,97.257,96.678,1.52,0.76,1.2
201904,210905,FRESH/CHILLED CHICKEN  PER KG,1,1,98.258,98.334,98.258,0.57,0.92,0.45
201904,210910,FRESH BONELESS CHICKEN BREAST,1,1,99.21,99.18,99.21,1.52,2.04,1.2
201904,210911,FRESH TURKEY STEAKS PER KG,1,1,101.014,101.027,101.014,0.19,0.4,0.15
201904,210912,FROZEN CHICKEN BREASTS,1,1,101.43,101.374,101.43,0.38,0.48,0.3
201904,210913,ROTISSERIE CHICKEN [WHOLE],1,1,99.362,99.222,99.362,0.19,0.16,0.15
201904,211007,CANNED MEAT-STEWED STEAK,1,1,102.701,102.597,102.701,0.19,0.18,0.15
201904,211011,INDIVIDUAL MEAT PIE,1,1,102.672,102.67,102.672,0.76,0.78,0.6
201904,211014,SAUSAGES-PORK-PER KG,1,1,99.716,99.667,99.716,1.71,0.78,1.35
201904,211019,FROZ CHICKEN NUGGETS 220-600G,1,1,100.613,101.083,100.613,0.57,0.54,0.45
201904,211023,COOKED HAM PREPACKED SLICED,1,1,99.061,99.24,99.061,2.28,1.08,1.8
201904,211024,CONTINENTAL SLICED DELI MEAT,1,1,103.166,102.914,103.166,0.95,0.42,0.75
201904,211025,JOINT OV/READ GAM/POR 450-900G,1,1,100.799,101.082,100.799,0.19,0.06,0.15
201904,211026,CHICKEN KIEV 2 PACK 240-325G,1,1,97.093,96.468,97.093,0.57,0.54,0.45
201904,211027,H K LIVER PER KG STATE TYPE,1,1,92.271,94.764,92.271,0.19,0.06,0.15
201904,211029,COOKED MEAT TURKEY/CHICK SLICE,1,1,99.692,99.581,99.692,0.38,0.54,0.3
201904,211030,MEAT BASED SNACK PACK MAX 400G,1,1,99.171,99.052,99.171,0.76,0.72,0.6
201904,211031,COOKED HAM LOOSE PER 100G,1,1,98.608,98.35,98.608,0.57,0.3,0.45
