INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT,IMPUTATION_FLAG
202009,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,100.142,99.633,0.32,0.3,0.26,
202009,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,100.798,99.88,0.64,0.51,0.52,
202009,210111,WHITE SLICED LOAF BRANDED 750G,1,1,99.165,99.006,0.96,0.78,0.78,
202009,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,99.497,99.415,0.8,0.63,0.65,
202009,210114,CHILLED GARLIC BREAD,1,1,100.679,99.834,0.96,0.78,0.78,
202009,210201,FLOUR-SELF-RAISING-1.5KG,1,1,100.457,100.634,0.32,0.09,0.26,
202009,210204,DRY SPAGHETTI OR PASTA 500G,1,1,104.909,103.587,0.16,0.33,0.13,
202009,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,101.572,101.708,0.39,0.24,0.33,
202009,210212,BASMATI RICE 500G-1KG,1,1,102.115,101.126,0.32,0.42,0.26,
202009,210213,BREAKFAST CEREAL 1,1,1,104.875,105.063,0.96,0.36,0.78,
202009,210214,BREAKFAST CEREAL 2,1,1,101.625,100.643,1.6,0.66,1.3,
202009,210215,CEREAL BAR,1,1,101.854,101.668,0.32,0.33,0.26,
202009,210216,HOT OAT CEREAL,1,1,105.577,104.686,0.32,0.12,0.26,
202009,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,95.422,91.253,0.16,0.12,0.13,
202009,210218,"POPCORN, BAG, 10-30G",1,1,101.262,98.276,0.64,0.27,0.52,
202009,210219,BREAKFAST CEREAL GLUTEN FREE,1,1,100.075,99.434,0.16,0.06,0.13,
202009,210301,CREAM CRACKERS PACK 200G-300G,1,1,100.105,100.086,0.48,0.54,0.39,
202009,210302,PLAIN BISCUITS-200-300G,1,1,110.46,108.579,1.28,1.2,1.04,
