INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
202112,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,106.669,106.825,0.38,0.44,0.3
202112,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,107.193,105.815,0.76,0.64,0.6
202112,210111,WHITE SLICED LOAF BRANDED 750G,1,1,101.779,101.751,1.14,1,0.9
202112,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,100.402,100.684,0.95,0.8,0.75
202112,210114,CHILLED GARLIC BREAD,1,1,103.587,102.417,1.14,1.12,0.9
202112,210201,FLOUR-SELF-RAISING-1.5KG,1,1,89.697,89.427,0.38,0.2,0.3
202112,210204,DRY SPAGHETTI OR PASTA 500G,1,1,120,122.496,0.19,0.4,0.15
202112,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,101.211,101.674,0.6,0.32,0.48
202112,210212,BASMATI RICE 500G-1KG,1,1,102.32,102.199,0.38,0.52,0.3
202112,210213,BREAKFAST CEREAL 1,1,1,107.12,106.587,1.14,0.48,0.9
202112,210214,BREAKFAST CEREAL 2,1,1,103.214,103.217,1.71,0.8,1.35
202112,210215,CEREAL BAR,1,1,102.835,104.693,0.57,0.48,0.45
202112,210216,HOT OAT CEREAL,1,1,106.857,106.032,0.38,0.16,0.3
202112,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,101.411,101.546,0.19,0.12,0.15
202112,210218,"POPCORN, BAG, 10-30G",1,1,98.913,97.829,0.76,0.36,0.6
202112,210219,BREAKFAST CEREAL GLUTEN FREE,1,1,107.214,107.961,0.19,0.12,0.15
202112,210221,COUSCOUS PLAIN/FLAVOURED,1,1,103.431,104.771,0.19,0.04,0.15
202112,210301,CREAM CRACKERS PACK 200G-300G,1,1,102.211,101.181,0.57,0.63,0.45
202112,210302,PLAIN BISCUITS-200-300G,1,1,104.881,104.135,1.52,1.4,1.2
202112,210319,DOUGHNUT-EACH,1,1,103.071,103.57,0.95,0.98,0.75
202112,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,106.678,107.602,0.95,0.91,0.75
202112,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,117.038,116.915,1.33,1.33,1.05
202112,210323,BISCUITS HALF CHOC 260-400G,1,1,102.899,103.276,0.76,0.77,0.6
202112,210324,CRUMPETS PACK 6-9 SPEC NUMBER,1,1,101.403,100.036,0.95,0.98,0.75
202112,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,105.79,106.151,0.84,1.24,0.64
202112,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,105.583,105.874,1.05,1.68,0.8
202112,210414,FROZEN BEEFBURGERS PACK OF 4,1,1,101.366,101.361,0.42,0.52,0.32
202112,210416,BEEF ROASTING JOINT PER KG,1,1,105.566,105.577,0.42,0.56,0.32
202112,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,1,109.207,109.082,0.63,0.4,0.48
202112,210507,HOME KILLED LAMB SHOULDER KG,1,1,110.74,111.039,1.05,0.6,0.8
202112,210703,HOME KILLED PORK-LOIN CHOPS KG,1,1,103.655,103.7,1.05,1,0.8
202112,210802,BACON-GAMMON-PER KG,1,1,101.488,101.803,0.63,0.24,0.48
202112,210808,BACON-BACK-PER KG,1,1,98.966,98.671,1.89,0.76,1.44
202112,210905,FRESH/CHILLED CHICKEN  PER KG,1,1,104.335,104.116,0.84,1.08,0.64
202112,210910,FRESH BONELESS CHICKEN BREAST,1,1,103.369,103.315,1.68,2.36,1.28
202112,210913,ROTISSERIE CHICKEN [WHOLE],1,1,103.645,103.675,0.21,0.2,0.16
202112,210914,FRESH TURKEY DICED/MIN PER KG,1,1,110.569,110.876,0.21,0.36,0.16
202112,211007,CANNED MEAT-STEWED STEAK,1,1,98.38,98.723,0.21,0.18,0.16
202112,211011,INDIVIDUAL MEAT PIE,1,1,103.192,103.793,0.84,0.84,0.64
202112,211014,SAUSAGES-PORK-PER KG,1,1,104.025,104.429,2.1,0.78,1.6
202112,211019,FROZ CHICKEN NUGGETS 220-600G,1,1,99.972,100.034,0.63,0.54,0.48
202112,211023,COOKED HAM PREPACKED SLICED,1,1,102.245,103.228,2.52,1.02,1.92
202112,211024,CONTINENTAL SLICED DELI MEAT,1,1,98.619,98.661,0.84,0.36,0.64
202112,211025,JOINT OV/READ GAM/POR 450-900G,1,1,100.374,100.391,0.21,0.12,0.16
202112,211026,CHICKEN KIEV 2 PACK 240-325G,1,1,105.882,108.414,0.63,0.54,0.48
202112,211027,H K LIVER PER KG STATE TYPE,1,1,105.453,105.695,0.21,0.06,0.16
